titulo,titulo_original,clasificacion,duracion,Gran Patio Zaragoza,Juárez Centro Mall,La Monumental,Las Américas Juárez,Las Misiones,Pinocelli,Plaza Areno,Plaza Sendero Las Torres,Sendero Ciudad Juárez,VIP Las Misiones
Amigos Imaginarios,IF,A,104,1,1,1,1,1,1,1,1,1,0
El Planeta de Los Simios: Nuevo Reino,Kingdom of The Planet of The Apes,B,145,1,0,1,0,1,0,0,1,1,1
Furiosa: De La Saga Mad Max,Furiosa,B15,148,1,1,1,1,1,1,1,1,1,1
Garfield: Fuera de Casa,The Garfield Movie,AA,101,1,0,1,1,1,1,1,1,0,0
Good Boy,Good Boy,B15,76,1,0,0,0,1,0,0,0,0,0
Tarot de La Muerte,Tarot,B15,92,1,1,0,1,1,1,1,1,1,1
V de Victor,V de Victor,A,100,1,0,1,0,0,0,0,0,0,0
Desafiantes,Challengers,B15,131,0,0,0,0,1,0,0,0,0,0
Firma Aquí,Firma Aquí,B,103,0,0,0,0,1,0,0,0,0,0
Hachiko: Una Historia Verdadera,Hachiko,A,120,0,0,0,0,1,0,0,0,0,0
"Gurren Lagann: The Lights in the Sky Are Stars, la película",Gurren Lagann the Movie:The Lights,B,126,0,0,0,0,0,0,0,1,0,0
Jugaremos En El Bosque,Jugaremos En El Bosque,B15,96,0,0,0,0,0,0,0,1,1,0
