titulo,clasificacion,titulo_original,duracion,p_accion,p_aventura,p_animacion,p_comedia,p_crimen,p_documental,p_drama,p_familia,p_fantasia,p_historia,p_terror,p_musica,p_misterio,p_romance,p_ciencia_ficcion,p_suspense,p_belica,p_western,score,Gran Patio Zaragoza,Juárez Centro Mall,La Monumental,Las Américas Juárez,Las Misiones,Pinocelli,Plaza Areno,Plaza Sendero Las Torres,Sendero Ciudad Juárez,VIP Las Misiones
Amigos Imaginarios,A,IF,104,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,71,1,1,1,1,1,1,1,1,1,0
El Planeta de Los Simios: Nuevo Reino,B,Kingdom of The Planet of The Apes,145,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,72,1,0,1,0,1,0,0,1,1,1
Furiosa: De La Saga Mad Max,B15,Furiosa,148,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,76,1,1,1,1,1,1,1,1,1,1
Garfield: Fuera de Casa,AA,The Garfield Movie,101,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,66,1,0,1,1,1,1,1,1,0,0
Good Boy,B15,Good Boy,76,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,66,1,0,0,0,1,0,0,0,0,0
Tarot de La Muerte,B15,Tarot,92,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,54,1,1,0,1,1,1,1,1,1,1
V de Victor,A,V de Victor,100,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
Desafiantes,B15,Challengers,131,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,73,0,0,0,0,1,0,0,0,0,0
Firma Aquí,B,Firma Aquí,103,0,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,73,0,0,0,0,1,0,0,0,0,0
Hachiko: Una Historia Verdadera,A,Hachiko,120,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,77,0,0,0,0,1,0,0,0,0,0
"Gurren Lagann: The Lights in the Sky Are Stars, la película",B,Gurren Lagann the Movie:The Lights,126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
Jugaremos En El Bosque,B15,Jugaremos En El Bosque,96,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
